movie_name,year,genre,description
The Hook,1976,"Crime, Thriller","Kostas is an all-powerful tycoon, in love with his beautiful wife, Iro, who, however, is cheating on him with a young playboy, Nikos."
No Rain at Timburi,1954,Action,The wife of the North Kenya District Commissioner joins him in Africa and encounters trouble with the natives.
Kapitan Bagwis,1951,"Action, Adventure, Family",Anita Linda loves and is betrothed the Efren Reyes loves Anita but Patria Plata falls in love with Efren what a romance.
The Plot to Assassinate Hitler,1955,"Drama, History, Thriller",A disillusioned Wehrmacht officer named Colonel Claus von Stauffenberg and his co-conspirators attempt to assassinate Adolf Hitler on 20 July 1944.
Patient 17,2011,"Crime, Drama, Mystery","Sam and Gaby, 2 medical interns, are asked to investigate patient Sarah in a criminal case. But as they search for the truth, they witness unexplained events."
Sat Shri Akaal England,2017,"Comedy, Family","After getting his visa to Germany denied, a man tries to marry British woman so he can move to England."
Horseface 2: Reverse the Curse,2017,"Adventure, Comedy, Fantasy","Delshawn, ""The Chosen One"", is back in action, but this time, it's not for destiny. Not for revenge. Not for justice. ...For answers."
Veerappan,2016,"Action, Biography, Crime","Officer Kannan leads a group of police officers to track down the bandit, Veerappan."
A Ilha do Amor,1981,Adventure,"A French girl named Nathalie inherits an almost uninhabited island called ""Xavana"" off the coast of Rio de Janeiro, Brazil. She and some friends board a yacht, and travel there to explore and have fun in the sun."
Baba Yaga: Terror of the Dark Forest,2020,"Adventure, Fantasy, Horror","When Egor's mom dies, he gets a stepmom and then a baby half sister. Things get seriously twisted when his dad gets a hot nanny, who's the witch, Baba Yaga."
Doctor Prim,2021,"Drama, Horror","A group of individuals come together during the virus lock down. They tell their stories of love, hate, greed and death."
The Wrong Husband,2019,Thriller,"Melanie's suspicion is proven correct when her husband's identical twin is living with her pretending to be her husband, endangering their lives with his sinister plans."
East West,2020,"Action, Adventure, Drama","Ezequiel, a former professional car racer, returns to his hometown after 15 years to compete in his last race. He finds Stela, an old affair; Angelo, the family patriarch, as well as Pedro, a 16 year-old boy who dreams of being a driver."
Wei qing shao nu,1994,"Drama, Thriller",A girl has a nightmare and decides to explore the secret of her dead mother.
Gentle Giant,1967,"Drama, Family","A young boy befriends an orphaned cub and raises him to adult-bearhood. This fine family feature. based on Walt Morey's novel ""Gentle Ben,"" was the basis for the ""Gentle Ben"" television series."
The Golden Girls,1995,"Comedy, Drama, Romance","Romantic comedy starring Anita Yuen and Lau Ching Wan, who are involved in a triangle relationship with Ada Choi."
The Caretakers,2014,Thriller,An aging caretaker for a powerful vampire must help hunt down a rogue half-breed vampire at the same time that he trains his two new apprentices.
Banaras,2022,Romance,"An astronaut from an indefinite future fall in love with a girl in present time each other. When his i love is threatened by an existential element, responsibility falls on him to save her, using his future knowledge as an edge ahead."
Vegetarian Cannibal,2012,"Crime, Drama",A medical horror of corrupt gynecologists and true events from Croatian hospitals that will shock the public.
Her Counterfeiter,2017,"Crime, Drama","The most pristine undetectable hundred dollar bill ever made, an unknown failed artist looking to get out of the business for good, and an ambition secret service agent walk into a bar.."
Becky Sharp,1935,"Drama, Romance, War","Against the backdrop of Napoleon's Waterloo campaign, an ambitious woman from a family of entertainers begins a destructive climb up the social ladder."
8 Assassins,2014,"Action, Adventure","Amir and his friends robbed a bank, but he had another plan, he chose to escape with the money to a village in the desert where he got to cope with a gang controlling the village."
Successive Slidings of Pleasure,1974,"Fantasy, Horror, Thriller","A cult erotic drama from the perverse imagination of Alain Robbe-Grillet, SUCCESSIVE SLIDINGS OF PLEASURE delves into the twisted mind of a young woman suspected in the stabbing death of her roommate Nora."
Gate 2: The Trespassers,1990,"Fantasy, Horror, Comedy","Four teens summon forth a diminuitive, demonic minion from The Other Side to do their bidding and grant their wishes, but of course, they must all ultimately pay the price..."
Casa Amor: Exclusive for Ladies,2015,"Comedy, Romance","After getting fired from a children's toy company, an overworked marketing executive teams up with her bohemian sex-shop-owner neighbor to create better toys of a different kind, reigniting her stilted marriage in the process."
Valentina,1989,"Action, Horror",THE SERPENT-HAIRED VIXEN SOWS FEAR AND TERROR AMONG THE TOWNSPEOPLE AND CITE DWELLERS ALIKE.
